                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 3.2479,                 3.9545,                 3.2597,                 3.7941,                 0.0281,                0.42857,                0.04186,                0.01193,                0.04654,                0.28571,                0.07007,                0.01723,                 2.5584,                  4.385,                 3.3654,                 3.6694,             9.9523e-05,             1.4799e-05,             1.4799e-05
                     44,                 3.2205,                 3.9319,                 3.2437,                 3.7697,                0.03335,                0.38776,                0.05511,                0.01431,                0.05583,                0.22449,                0.05094,                0.01482,                 2.5857,                 4.3071,                 3.3489,                 3.6494,              9.975e-05,             1.5142e-05,             1.5142e-05
                     45,                 3.1977,                 3.8968,                 3.2228,                 3.7474,                0.01413,                0.67347,                0.03563,                0.01222,                0.03898,                0.28571,                 0.0303,                0.01111,                 2.5796,                  4.277,                 3.3482,                 3.6416,             9.9976e-05,             1.5485e-05,             1.5485e-05
                     46,                 3.2425,                 3.8653,                 3.1851,                 3.7392,                0.04971,                0.22449,                0.04058,                 0.0127,                0.05423,                 0.2449,                0.04027,                0.01377,                 2.6056,                 4.2464,                 3.2939,                 3.6201,              0.0001002,             1.5828e-05,             1.5828e-05
                     47,                 3.2429,                 3.8765,                 3.1508,                 3.7147,                0.04377,                 0.2449,                0.03592,                0.01211,                0.04012,                0.22449,                0.02984,                0.01111,                 2.6162,                 4.2519,                 3.3162,                 3.5917,             0.00010043,             1.6171e-05,             1.6171e-05
                     48,                 3.2668,                 3.8748,                 3.1595,                 3.7077,                0.08132,                0.08163,                0.05372,                0.01361,                0.12198,                0.12245,                0.05881,                0.01733,                 2.6408,                 4.1774,                 3.1743,                 3.6149,             0.00010065,             1.6513e-05,             1.6513e-05
                     49,                 3.2218,                 3.9376,                 3.1897,                 3.6952,                0.07056,                0.06122,                0.04439,                0.01259,                0.14112,                0.12245,                0.05421,                0.01618,                 2.6567,                 4.1586,                 3.1446,                 3.6525,             0.00010088,             1.6856e-05,             1.6856e-05
                     50,                 3.2829,                  3.871,                  3.137,                 3.6666,                0.10763,                0.11087,                0.04154,                0.01146,                0.10763,                0.11087,                0.04716,                0.01455,                 2.6585,                 4.1439,                 3.2213,                 3.6533,             0.00010111,             1.7199e-05,             1.7199e-05
                     51,                 3.2919,                 3.7777,                 3.0943,                 3.6743,                0.13814,                0.14286,                0.05512,                0.01281,                 0.1184,                0.12245,                0.05274,                0.01587,                 2.6916,                 4.1177,                 3.2451,                 3.6018,             0.00010133,             1.7541e-05,             1.7541e-05
                     52,                 3.3054,                 3.7911,                 3.1183,                 3.6624,                0.07658,                0.22449,                0.04825,                0.01271,                0.07658,                0.22449,                0.04005,                0.01266,                 2.6619,                 4.1308,                 3.1801,                 3.6048,             0.00010156,             1.7884e-05,             1.7884e-05
                     53,                 3.3083,                 3.7464,                 3.1116,                 3.6359,                0.00842,                0.83673,                0.04192,                0.01092,                0.00698,                0.69388,                0.03468,                0.01074,                 2.6393,                  4.207,                 3.1592,                 3.7126,             0.00010178,             1.8226e-05,             1.8226e-05
                     54,                 3.2079,                 3.7256,                 3.0401,                 3.5978,                0.09991,                0.20408,                0.05938,                0.01309,                0.09991,                0.20408,                 0.0537,                0.01496,                 2.6836,                 4.1127,                 3.1693,                 3.5822,             0.00010201,             1.8569e-05,             1.8569e-05
                     55,                 3.2101,                 3.7025,                 3.0686,                 3.5817,                0.09408,                0.26531,                0.05454,                 0.0147,                0.09134,                0.18367,                0.04636,                0.01525,                  2.665,                 4.1025,                 3.1602,                 3.5878,             0.00010223,             1.8911e-05,             1.8911e-05
                     56,                 3.2668,                 3.7138,                 3.0448,                 3.5888,                0.11761,                0.18367,                0.06027,                0.01617,                0.11761,                0.18367,                0.05497,                0.01823,                 2.6521,                 4.0889,                 3.1248,                 3.5941,             0.00010246,             1.9253e-05,             1.9253e-05
                     57,                 3.1217,                 3.6486,                 2.9858,                 3.5111,                0.12465,                0.26531,                 0.0796,                0.02193,                 0.1172,                 0.2449,                0.05889,                0.02002,                 2.6324,                 4.0415,                 3.0772,                 3.5433,             0.00010268,             1.9596e-05,             1.9596e-05
