                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 2.9261,                 3.7533,                 3.5003,                 3.7502,                0.10388,                0.23077,                0.05851,                0.01399,                0.11864,                   0.25,                0.07932,                0.01813,                 2.6691,                 3.9167,                 3.9702,                 3.6836,             0.00013714,             2.5193e-05,             2.5193e-05
                     50,                 2.8198,                 3.7342,                  3.517,                 3.7365,                0.09864,                0.28413,                0.06805,                0.01808,                0.15972,                0.21154,                0.07593,                0.01782,                 2.6635,                 3.8969,                  3.633,                 3.6899,             0.00013746,             2.5705e-05,             2.5705e-05
                     51,                 2.8741,                 3.7444,                 3.4622,                 3.7184,                0.16938,                0.15385,                0.08108,                0.02015,                0.14675,                0.23077,                0.07361,                0.01999,                   2.65,                 3.9054,                 3.6915,                 3.7016,             0.00013778,             2.6218e-05,             2.6218e-05
                     52,                 2.8196,                 3.6687,                 3.4493,                 3.7002,                0.09628,                0.19231,                0.09757,                0.02666,                0.16244,                0.21154,                0.08636,                0.02555,                 2.5473,                 3.8538,                   3.44,                 3.6645,             0.00013809,              2.673e-05,              2.673e-05
                     53,                 2.7713,                 3.6687,                 3.3906,                 3.6746,                0.14284,                0.30769,                0.10586,                0.03274,                0.15392,                0.15385,                0.11311,                0.03909,                 2.5051,                 3.7546,                  3.558,                 3.5841,             0.00013841,             2.7243e-05,             2.7243e-05
                     54,                 2.8438,                 3.7932,                 3.4579,                 3.6761,                0.14304,                0.21154,                0.08926,                0.02856,                0.15604,                0.23077,                 0.0891,                 0.0318,                 2.4554,                 3.8088,                 3.2892,                  3.603,             0.00013873,             2.7755e-05,             2.7755e-05
                     55,                 2.9188,                 3.7153,                 3.4358,                 3.6927,                0.08226,                0.19231,                0.07309,                0.02866,                0.09048,                0.21154,                 0.0706,                0.02887,                 2.4425,                 3.8793,                 3.1973,                 3.6408,             0.00013904,             2.8267e-05,             2.8267e-05
                     56,                 2.7187,                 3.6627,                 3.4339,                 3.6728,                0.09987,                0.23077,                0.07383,                 0.0255,                0.09898,                0.21154,                 0.0715,                  0.024,                 2.4167,                 3.7726,                 3.2637,                 3.5904,             0.00013936,              2.878e-05,              2.878e-05
                     57,                 2.7714,                  3.643,                 3.3854,                 3.6172,                0.13694,                0.19231,                0.08953,                0.03188,                0.16939,                0.19231,                0.09041,                0.03382,                 2.4241,                 3.7271,                 3.0728,                 3.6385,             0.00013968,             2.9292e-05,             2.9292e-05
                     58,                 2.8432,                 3.6987,                 3.4752,                  3.665,                0.14394,                0.17308,                0.08993,                0.02564,                0.19834,                0.17308,                0.09065,                0.03211,                 2.5187,                 3.7908,                 3.1147,                 3.6805,             0.00013999,             2.9804e-05,             2.9804e-05
                     59,                 2.9007,                 3.6882,                  3.421,                 3.6757,                0.17666,                   0.25,                0.09208,                 0.0285,                0.14948,                0.21154,                0.07984,                0.02925,                 2.4877,                 3.5986,                 3.2126,                 3.6075,             0.00014031,             3.0315e-05,             3.0315e-05
                     60,                 2.7982,                 3.4788,                 3.3779,                 3.6104,                0.16214,                0.23077,                0.09815,                0.03973,                0.12468,                0.15385,                0.08178,                 0.0369,                 2.4067,                 3.6851,                 3.0636,                 3.5937,             0.00014062,             3.0827e-05,             3.0827e-05
                     61,                 2.8284,                 3.5932,                 3.3333,                 3.6306,                0.18347,                0.19231,                0.11362,                0.04427,                0.18347,                0.19231,                0.10437,                0.04058,                 2.3883,                 3.8026,                 3.0332,                 3.5868,             0.00014094,             3.1339e-05,             3.1339e-05
                     62,                 2.7253,                 3.4649,                 3.3668,                 3.5887,                0.20402,                0.27113,                0.13322,                0.05054,                0.17931,                0.23077,                0.11661,                0.05021,                 2.3828,                 3.6295,                 3.1811,                 3.5518,             0.00014125,              3.185e-05,              3.185e-05
                     63,                  2.825,                 3.5402,                 3.3495,                 3.5675,                0.10428,                0.17308,                0.05918,                0.01833,                0.09269,                0.15385,                0.05358,                0.01953,                 2.4259,                 3.5808,                 3.4011,                 3.5544,             0.00014157,             3.2362e-05,             3.2362e-05
                     64,                 2.6841,                 3.4135,                 3.3039,                 3.5461,                0.21342,                0.19231,                0.10746,                 0.0388,                0.20405,                0.16771,                0.09357,                0.03648,                 2.3218,                  3.674,                 3.0972,                 3.5629,             0.00014188,             3.2873e-05,             3.2873e-05
                     65,                 2.7307,                 3.6301,                 3.3487,                 3.5268,                0.20112,                0.23077,                 0.1297,                0.04358,                0.19839,                0.21154,                0.12131,                0.04785,                  2.379,                 3.6692,                 3.1129,                 3.5206,              0.0001422,             3.3384e-05,             3.3384e-05
                     66,                  2.753,                 3.4469,                 3.3233,                 3.5286,                0.22736,                   0.25,                 0.1148,                0.03329,                0.21434,                0.21154,                0.11224,                0.04194,                 2.5162,                 3.6875,                   3.38,                 3.5411,             0.00014251,             3.3895e-05,             3.3895e-05
                     67,                 2.7636,                 3.4065,                 3.2512,                 3.5186,                0.17872,                0.26923,                 0.1397,                0.04765,                0.20674,                   0.25,                 0.1283,                0.05224,                 2.4271,                 3.6175,                 3.1749,                 3.4859,             0.00014283,             3.4406e-05,             3.4406e-05
