                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                    3.1,                 3.7607,                 2.7248,                   2.93,                0.49947,                0.16294,                0.20583,                0.06127,                0.54644,                 0.1478,                0.19632,                0.08283,                  2.796,                 3.8582,                  2.851,                 2.7523,              0.0045463,             7.6829e-07,             7.6829e-07
                     53,                 3.0563,                 3.6157,                 2.6895,                 2.9611,                 0.3383,                0.16327,                0.17708,                0.05732,                0.36522,                0.16327,                0.15695,                0.06151,                 2.7749,                 3.9343,                 2.7862,                 2.7062,               0.004541,             7.8302e-07,             7.8302e-07
                     54,                 3.1619,                 3.6534,                 2.7198,                 2.9525,                0.20389,                0.22449,                0.16434,                 0.0617,                0.21717,                0.20408,                0.14376,                0.05774,                 2.7531,                 3.7616,                 2.8738,                 2.6836,              0.0045356,             7.9774e-07,             7.9774e-07
                     55,                 3.1184,                 3.5572,                 2.6879,                 2.9139,                0.13329,                0.14286,                0.13968,                0.05106,                0.29503,                0.14286,                0.14615,                0.05994,                 2.8056,                  4.047,                 2.8166,                 2.7195,              0.0045303,             8.1246e-07,             8.1246e-07
                     56,                 3.1303,                 3.6278,                 2.6876,                 2.9959,                0.15891,                0.10204,                0.11192,                0.04207,                0.20593,                0.12245,                0.12084,                0.04132,                  2.813,                 4.5331,                 2.9175,                 2.7421,              0.0045249,             8.2718e-07,             8.2718e-07
                     57,                 3.0564,                 3.7675,                  2.708,                 2.9146,                0.18479,                0.28571,                0.13821,                0.04971,                0.24436,                 0.2113,                0.14787,                0.06202,                  2.769,                 3.7475,                 2.7621,                   2.71,              0.0045196,              8.419e-07,              8.419e-07
                     58,                 3.1156,                 3.5161,                 2.6135,                 2.9637,                0.18011,                0.26531,                0.13959,                0.05612,                0.18389,                0.26531,                0.11672,                0.05098,                 2.7569,                 3.9984,                 2.8535,                 2.7319,              0.0045142,             8.5661e-07,             8.5661e-07
                     59,                 3.1013,                 3.5535,                 2.7198,                 2.9938,                0.21675,                0.26531,                0.17068,                0.05929,                0.21909,                0.20408,                0.14778,                0.05603,                 2.7365,                 3.9919,                 2.7016,                 2.7237,              0.0045089,             8.7133e-07,             8.7133e-07
                     60,                 3.0201,                 3.5175,                 2.6348,                 2.9564,                0.23238,                0.20408,                0.18252,                0.05326,                0.21458,                0.16327,                0.14083,                0.05156,                  2.745,                 3.7297,                 2.6901,                 2.7215,              0.0045035,             8.8603e-07,             8.8603e-07
                     61,                 2.9836,                  3.644,                 2.6024,                 2.8706,                0.17738,                0.20408,                0.18377,                0.07103,                0.22813,                0.22449,                0.16239,                0.07438,                 2.7471,                 4.1597,                 2.7168,                 2.6901,              0.0044982,             9.0074e-07,             9.0074e-07
