                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 2.9478,                 3.4215,                 3.0449,                 3.4223,                0.14381,                0.30612,                0.13317,                0.04629,                0.11852,                0.32653,                0.12995,                0.05089,                 2.6901,                 3.8258,                 2.9266,                 3.4238,              0.0012415,             9.6064e-06,             9.6064e-06
                     55,                 2.9349,                 3.4354,                 2.9957,                 3.4139,                0.18848,                0.18367,                0.11446,                0.03772,                0.25375,                0.16327,                0.11486,                0.04027,                 2.6502,                 3.8263,                 2.8337,                  3.383,              0.0012331,             9.7835e-06,             9.7835e-06
                     56,                 2.9343,                  3.405,                 3.0092,                 3.4176,                0.14029,                0.14286,                0.13368,                0.04226,                0.16469,                0.18367,                0.12136,                0.04408,                  2.637,                  3.783,                 2.8325,                 3.3783,              0.0012246,             9.9606e-06,             9.9606e-06
                     57,                 2.8973,                 3.3527,                 2.9547,                 3.4004,                0.15636,                0.32653,                0.13086,                0.04598,                0.16526,                0.16327,                0.12187,                0.04406,                 2.5904,                 3.7431,                 2.7742,                 3.3537,              0.0012162,             1.0138e-05,             1.0138e-05
                     58,                 2.8746,                 3.3491,                 2.9781,                 3.3661,                0.19501,                0.26531,                0.11987,                0.04228,                0.19956,                0.22449,                0.13929,                0.04545,                 2.6147,                 3.7876,                  2.828,                 3.3495,              0.0012078,             1.0315e-05,             1.0315e-05
                     59,                 2.8632,                 3.4086,                 2.9573,                 3.3501,                 0.1163,                0.14286,                  0.119,                0.04348,                0.16389,                0.16327,                0.15078,                0.04763,                 2.6475,                 3.7736,                 2.7652,                 3.3696,              0.0011993,             1.0492e-05,             1.0492e-05
                     60,                 2.8014,                 3.3749,                 2.8768,                 3.3234,                0.19338,                0.18367,                0.18102,                0.06225,                0.20185,                0.18367,                0.16642,                0.06437,                 2.6091,                 3.7586,                 2.7633,                 3.3559,              0.0011909,             1.0669e-05,             1.0669e-05
                     61,                 2.9262,                 3.3029,                 2.9231,                 3.3713,                0.19723,                0.20561,                0.20947,                0.06887,                0.22118,                0.20408,                0.19274,                0.07271,                 2.6101,                 3.7142,                 2.7285,                 3.3689,              0.0011825,             1.0845e-05,             1.0845e-05
                     62,                 2.8719,                 3.4385,                 2.9413,                 3.3567,                0.21485,                0.16327,                0.19416,                 0.0722,                0.29137,                0.18367,                0.18135,                0.07298,                 2.6278,                 3.7069,                 2.7294,                 3.3771,               0.001174,             1.1022e-05,             1.1022e-05
                     63,                 2.8841,                 3.3577,                 2.8514,                 3.3576,                 0.2093,                0.30612,                0.20045,                 0.0788,                0.24464,                 0.2449,                0.18445,                0.07873,                 2.6066,                 3.7011,                 2.6501,                 3.3477,              0.0011656,             1.1199e-05,             1.1199e-05
                     64,                 2.8042,                 3.3543,                 2.9115,                 3.3276,                0.24153,                 0.2449,                0.21322,                0.05708,                0.26429,                0.22449,                0.20116,                0.07424,                 2.6291,                 3.6993,                 2.7103,                 3.3673,              0.0011572,             1.1376e-05,             1.1376e-05
                     65,                 2.8407,                 3.3263,                 2.8407,                 3.3158,                0.22283,                0.34694,                0.18355,                 0.0612,                0.31324,                0.18367,                0.18384,                0.06583,                 2.5539,                 3.7164,                 2.6303,                  3.313,              0.0011487,             1.1553e-05,             1.1553e-05
                     66,                 2.7902,                 3.3418,                 2.8414,                  3.303,                0.34003,                0.22449,                0.23663,                0.06614,                 0.2698,                0.32653,                0.21513,                0.08777,                 2.5403,                 3.7331,                 2.7637,                   3.31,              0.0011403,             1.1729e-05,             1.1729e-05
                     67,                 2.7939,                 3.2514,                 2.8294,                 3.2893,                0.19335,                0.36735,                0.18676,                0.06716,                0.23919,                0.22449,                0.19499,                0.07446,                  2.547,                 3.7237,                 2.7239,                 3.2966,              0.0011319,             1.1906e-05,             1.1906e-05
                     68,                 2.7866,                 3.3702,                 2.8216,                 3.2784,                0.22775,                0.28894,                0.23663,                0.08736,                0.24383,                0.30934,                0.22649,                 0.0851,                 2.5282,                 3.6995,                  2.653,                 3.2719,              0.0011234,             1.2083e-05,             1.2083e-05
