                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 2.7162,                 3.4721,                 2.9885,                 3.3666,                0.20493,                0.28571,                0.16293,                0.05303,                 0.2138,                0.22449,                0.22411,                0.06992,                 2.5636,                 3.6382,                 2.8575,                 3.5684,              0.0025432,             1.5706e-05,             1.5706e-05
                     62,                 2.6129,                 3.2496,                 2.8811,                 3.2515,                0.51499,                0.12245,                0.18081,                0.07876,                0.16585,                0.30612,                0.20473,                0.08265,                 2.6208,                 3.5829,                 2.8254,                 3.5617,              0.0025148,             1.5963e-05,             1.5963e-05
                     63,                 2.5199,                  3.214,                 2.8824,                 3.2757,                 0.2707,                0.14286,                0.18781,                0.06955,                0.30095,                0.22449,                0.20396,                0.07109,                 2.4948,                 3.6246,                 2.8549,                 3.5311,              0.0024864,              1.622e-05,              1.622e-05
                     64,                 2.5954,                 3.2547,                  2.881,                 3.2464,                0.20861,                 0.2449,                0.19423,                0.06045,                0.36337,                0.28571,                0.24842,                0.08243,                  2.517,                 3.6909,                 2.8382,                 3.5317,               0.002458,             1.6476e-05,             1.6476e-05
                     65,                 2.5829,                 3.3159,                 2.8421,                 3.3097,                0.21878,                0.12245,                0.14643,                0.04712,                0.25524,                0.14286,                0.16347,                0.06059,                 2.4672,                 3.6478,                 3.0922,                 3.5106,              0.0024296,             1.6732e-05,             1.6732e-05
                     66,                 2.6188,                 3.2402,                 2.8409,                 3.2854,                0.25113,                0.28571,                 0.1886,                0.06461,                0.34798,                0.36735,                0.25487,                0.08904,                  2.503,                 3.7226,                 2.9587,                 3.4966,              0.0024012,             1.6989e-05,             1.6989e-05
                     67,                 2.5409,                 3.1655,                 2.7082,                 3.2274,                0.20904,                0.18367,                 0.1398,                0.03817,                0.31482,                0.20408,                0.20531,                0.06755,                 2.5688,                 3.6405,                 3.0583,                 3.5217,              0.0023728,             1.7245e-05,             1.7245e-05
                     68,                 2.6156,                 3.3712,                 2.8658,                 3.2945,                0.30188,                0.30612,                0.20761,                0.07371,                0.26604,                0.32653,                0.23031,                0.09852,                 2.5396,                 3.5987,                 2.8508,                 3.5436,              0.0023444,             1.7502e-05,             1.7502e-05
                     69,                 2.5643,                 3.3085,                 2.8475,                 3.2322,                0.37076,                0.28571,                0.23104,                0.07188,                0.36155,                0.28571,                0.25464,                0.09632,                 2.4267,                 3.4971,                 2.9532,                 3.4675,               0.002316,             1.7758e-05,             1.7758e-05
                     70,                 2.4492,                 3.0948,                 2.6391,                 3.2178,                0.36052,                0.28571,                0.25506,                0.08056,                0.39689,                0.26869,                0.29523,                0.11093,                 2.3916,                 3.5182,                 3.0393,                 3.5008,              0.0022875,             1.8014e-05,             1.8014e-05
                     71,                 2.4811,                 3.1599,                 2.6661,                 3.1912,                0.21588,                0.31472,                0.23442,                 0.0887,                0.28196,                0.26531,                0.25363,                0.11153,                 2.3918,                 3.5029,                 2.8905,                 3.3944,              0.0022591,              1.827e-05,              1.827e-05
                     72,                 2.4672,                 3.0414,                 2.6513,                 3.1704,                0.18256,                0.20408,                 0.1026,                0.03859,                 0.2898,                0.22449,                0.19824,                0.06248,                 2.4845,                 3.5715,                 3.0057,                 3.4678,              0.0022307,             1.8526e-05,             1.8526e-05
                     73,                 2.5866,                 3.3439,                  2.818,                 3.2433,                0.33917,                0.28288,                0.24866,                0.06558,                0.33917,                0.28288,                0.26531,                0.09211,                 2.5672,                  3.471,                 2.9236,                 3.4874,              0.0022023,             1.8782e-05,             1.8782e-05
                     74,                 2.5203,                 3.2928,                  2.749,                 3.2007,                0.31391,                0.34694,                 0.2619,                0.08216,                0.30666,                0.34694,                0.26831,                0.09716,                  2.509,                  3.391,                 2.9004,                 3.4499,              0.0021739,             1.9038e-05,             1.9038e-05
                     75,                 2.5463,                 3.2997,                  2.797,                 3.2153,                0.34356,                0.22449,                0.24106,                0.08913,                0.35626,                0.26531,                0.25565,                0.10424,                  2.414,                 3.4919,                 2.7472,                 3.4061,              0.0021455,             1.9294e-05,             1.9294e-05
                     76,                 2.4177,                 3.0977,                 2.6444,                 3.1199,                0.29277,                 0.2449,                0.23316,                0.08062,                0.33415,                0.30612,                0.28471,                0.11774,                 2.5174,                 3.4634,                 2.7511,                 3.4613,              0.0021171,              1.955e-05,              1.955e-05
                     77,                 2.4271,                 3.1805,                 2.7296,                 3.1692,                0.50867,                0.22449,                0.24789,                0.09086,                 0.4717,                0.18367,                0.24127,                0.09809,                  2.391,                 3.5021,                 2.9208,                  3.417,              0.0020887,             1.9806e-05,             1.9806e-05
                     78,                 2.4414,                 3.1032,                 2.6014,                 3.1491,                0.50111,                0.18367,                0.22485,                0.09854,                0.41532,                0.30612,                0.27237,                0.11414,                  2.373,                 3.5014,                 2.7491,                 3.3913,              0.0020603,             2.0062e-05,             2.0062e-05
                     79,                 2.4034,                 3.3494,                 2.6155,                 3.1114,                0.32099,                0.28571,                0.27904,                0.10566,                0.32099,                0.28571,                0.27499,                0.10978,                 2.2775,                  3.374,                 2.7214,                 3.2967,              0.0020318,             2.0317e-05,             2.0317e-05
                     80,                 2.3914,                 3.1865,                 2.5908,                  3.111,                0.34153,                0.34694,                0.23478,                0.08619,                0.31847,                0.26706,                0.22243,                0.09406,                  2.435,                  3.516,                 2.7852,                 3.3457,              0.0020034,             2.0573e-05,             2.0573e-05
                     81,                 2.5221,                 3.2174,                 2.7069,                 3.1284,                0.32823,                0.31918,                0.24758,                0.08851,                0.38898,                0.32653,                0.29035,                0.12635,                 2.3877,                   3.34,                 2.6771,                 3.3384,               0.001975,             2.0829e-05,             2.0829e-05
                     82,                 2.4445,                 3.1982,                 2.7419,                 3.1351,                0.58581,                0.28571,                0.31931,                0.12157,                0.62613,                0.32653,                0.33446,                0.14181,                 2.3031,                 3.3543,                 2.5713,                  3.332,              0.0019466,             2.1084e-05,             2.1084e-05
                     83,                 2.3491,                 3.0223,                 2.6541,                 3.0306,                0.30461,                0.30612,                0.24614,                0.09709,                0.42178,                 0.3574,                0.29263,                0.12312,                 2.3896,                 3.2735,                 2.6101,                 3.3659,              0.0019182,              2.134e-05,              2.134e-05
                     84,                 2.3828,                 2.9564,                 2.5215,                 3.1245,                0.54318,                0.30612,                0.36985,                0.14854,                 0.4197,                0.36735,                0.36692,                0.17492,                 2.2944,                 3.2767,                 2.5711,                 3.3435,              0.0018898,             2.1595e-05,             2.1595e-05
                     85,                 2.3981,                 3.1793,                 2.7262,                 3.1532,                0.42556,                0.32653,                0.27576,                0.10441,                0.39897,                0.30612,                 0.2683,                0.12844,                 2.2978,                 3.3588,                 2.7784,                 3.2859,              0.0018614,             2.1851e-05,             2.1851e-05
                     86,                 2.3364,                 2.9987,                 2.5531,                 3.0661,                0.46219,                0.38589,                0.32379,                0.12943,                0.44513,                0.32653,                0.31557,                0.15391,                 2.3605,                 3.3224,                 2.7341,                 3.2949,               0.001833,             2.2106e-05,             2.2106e-05
                     87,                 2.2734,                 2.9838,                 2.4987,                 3.0051,                0.45762,                0.41333,                0.36628,                 0.1368,                0.45252,                0.38776,                0.34361,                0.15791,                 2.2979,                 3.4242,                 2.6088,                 3.3013,              0.0018045,             2.2361e-05,             2.2361e-05
                     88,                 2.3426,                 2.9904,                 2.5871,                 3.0311,                0.40695,                0.32653,                0.32385,                0.12734,                0.40695,                0.32653,                0.31754,                0.13191,                 2.2133,                 3.4704,                 2.6372,                 3.2299,              0.0017761,             2.2616e-05,             2.2616e-05
                     89,                 2.2542,                 3.0777,                 2.5521,                 2.9808,                0.47094,                0.40816,                  0.375,                0.14243,                0.47094,                0.40816,                 0.3808,                0.17344,                 2.3069,                 3.3162,                 2.6111,                 3.2247,              0.0017477,             2.2872e-05,             2.2872e-05
                     90,                 2.3389,                 3.1872,                 2.6356,                 3.0422,                0.42416,                0.44898,                0.30423,                0.11002,                0.40742,                0.44898,                0.32928,                0.13067,                 2.3655,                 3.3633,                 2.5355,                 3.2369,              0.0017193,             2.3127e-05,             2.3127e-05
                     91,                 2.3603,                 3.0402,                 2.4834,                 2.9971,                0.33759,                0.28571,                0.31284,                0.12269,                0.30213,                0.38776,                0.34122,                0.14225,                 2.3245,                 3.2503,                 2.5161,                 3.2256,              0.0016909,             2.3382e-05,             2.3382e-05
                     92,                 2.2782,                 3.1332,                 2.5927,                 2.9966,                0.81814,                0.26531,                0.33904,                0.14235,                0.81814,                0.26531,                0.33177,                0.14962,                 2.2629,                  3.349,                 2.6641,                 3.2663,              0.0016625,             2.3637e-05,             2.3637e-05
                     93,                 2.2058,                 2.9994,                 2.4413,                 2.9215,                0.37167,                0.34694,                0.32217,                0.12176,                0.41607,                0.34904,                0.33772,                0.15356,                 2.3258,                 3.2695,                 2.7167,                 3.2173,              0.0016341,             2.3892e-05,             2.3892e-05
